Company,Sector,PE,3Y High,3Y Low,% Assets
Sundaram-Clayton,Automobile,37.95,3.08,1.66,2.12
HDFC Bank,Financial,29.04,2.54,1.77,2.08
Bata India,FMCG,65.48,1.6,1.21,1.6
ICICI Bank,Financial,54.6,1.77,1.27,1.55
Biocon,Healthcare,31.24,2.43,1.41,1.52
Shree Cement,Construction,53.3,2.03,1.44,1.44
MRF,Automobile,24.69,1.42,1.02,1.36
Bharat Bijlee,Engineering,12.96,1.7,0,1.32
P&G Hygiene & Health Care,FMCG,92.33,1.32,0.77,1.32
Century Textiles & Inds.,Diversified,10.55,1.51,0.72,1.28
Axis Bank,Financial,45.35,1.28,1.03,1.11
4. Aditya Birla Sun Life Balanced Advantage Fund,,,,,
HDFC Bank,Financial,29.04,8.91,0,7.31
ITC,FMCG,24.06,6.35,1.26,4.14
HDFC,Financial,34.78,5.85,0.27,3.31
ICICI Bank,Financial,54.6,5.85,0.92,3.07
Infosys,Technology,17.88,5.91,0.84,2.64
Reliance Industries,Energy,21.03,2.87,0,2.16
Kotak Mahindra Bank,Financial,37.49,3.07,0,2.16
Axis Bank,Financial,45.35,2.69,0,1.96
HCL Technologies,Technology,14.98,3.62,0,1.86
Aditya Birla SL Nifty Next 50 ETF Reg-G,-,-,-,-,1.84
NTPC,Energy,10.18,2.89,0,1.69
Larsen & Toubro,Construction,21.91,2.82,0,1.59
Nestle India,FMCG,85.64,2.44,0,1.59
Indusind Bank,Financial,22.19,1.77,0,1.56
Bharti Airtel,Communication,0,2.17,0,1.4
Mahanagar Gas,Energy,15.98,4.2,0.56,1.37
Coal India,Energy,7.02,2.85,0,1.35
Dabur India,FMCG,56.47,1.93,0,1.23
Metropolis Healthcare,Healthcare,56.66,1.26,0,1.18
Bajaj Finserv,Financial,34.38,1.08,0,1.08
Sanofi India,Healthcare,36.43,1.52,0.02,1
Emami,FMCG,48.45,2.47,0,0.98
HDFC Life Insurance,Financial,92.87,1.14,0,0.91
Ultratech Cement,Construction,38.2,0.9,0,0.89
Hindalco Inds.,Metals,51.04,2.41,0.35,0.85
5. Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,,,,,
HDFC Bank,Financial,29.04,19.13,8.05,17.28
ICICI Bank,Financial,54.6,15.4,7.32,11.94
Bajaj Finance,Financial,47.43,10.99,5.38,7.8
Axis Bank,Financial,45.35,7.29,0,6.79
Bandhan Bank,Financial,30.55,7.97,0,5.95
Kotak Mahindra Bank,Financial,37.49,5.94,0,5.94
Indusind Bank,Financial,22.19,7.5,1.9,4.84
Bajaj Finserv,Financial,34.38,4.58,1.68,4.58
ICICI Lombard General Insurance,Financial,54.96,4.52,0,4.52
State Bank of India,Financial,30.54,9.82,0,4.06
HDFC,Financial,34.78,3.54,0,3.54
DCB Bank,Financial,15.73,4.59,0,3.06
SBI Life Insurance Company,Financial,80.59,2.7,0,2.7
L&T Finance Holdings,Financial,9.48,6.89,2.66,2.66
Repco Home Finance Ltd.,Financial,7.59,5.55,1.53,1.98
HDFC Life Insurance,Financial,92.87,1.66,0,1.66
Bank of Baroda,Financial,57.88,5,0,1.63
PNB Housing Finance,Financial,6.25,5.28,0.61,1.39
Equitas Holdings,Financial,348,4.99,0.98,1.33
Max Financial Services,Financial,77.92,2.46,0,1.26
Cholamandalam Invest. & Fin.,Financial,18.46,5.6,1.1,1.1
JM Financial,Financial,11.27,1.57,0,0.68
LIC Housing Fin.,Financial,7.08,1.54,0,0.66
Indostar Capital Finance,Financial,6.66,0.83,0,0.42
ICRA,Financial,25.31,1.31,0.39,0.39
6. Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan,,,,,
Tyson Foods,FMCG,-,-,-,7.99
Bunge Ltd. (US),FMCG,-,-,-,7.87
Nutrien,Chemicals,-,-,-,7.52
Archer Daniels Midland (Chicago),FMCG,-,-,-,7.51
CF Industries Holdings Inc(US),FMCG,-,-,-,7.18
Associated British Foods Ltd.,FMCG,-,-,-,7.17
BRF Brasil Foods SA,FMCG,-,-,-,6.15
Deere & Company (USA),Engineering,-,-,-,5.61
Kubota Corp (Foreign),Engineering,-,-,-,5.59
Marine Harvest ASA,FMCG,-,-,-,4.63
Wilmar International (US),FMCG,-,-,-,4.55
Yara International ASA (Foreig,Chemicals,-,-,-,3.7
Ingredion INC (USA),FMCG,-,-,-,3.48
Nath Bio Genes (India),FMCG,12.71,2.91,0,2.12
Mosaic Company,Chemicals,-,-,-,2.03
Sociedad Quimica y Minera de Chile SA,Chemicals,-,-,-,1.85
Israel Chemicals (Foreign),Chemicals,-,-,-,1.54
Nippon Meat Packers,FMCG,-,-,-,0.64
Golden Agri Resources,FMCG,-,-,-,0.31
7. Aditya Birla Sun Life Digital India Fund,,,,,
Infosys,Technology,17.88,33.46,23.22,27.46
Tata Consultancy Services,Technology,24.03,13.13,1.86,10.85
HCL Technologies,Technology,14.98,10.55,8.59,10.19
Tech Mahindra,Technology,16.09,11.19,5.26,7.77
Bharti Airtel,Communication,0,9.11,0,5.23
Honeywell Automation,Engineering,67.09,5.2,0,5.2
Sun TV Network,Services,14.87,7.5,0,3.83
Majesco,Technology,23.3,5.12,0,3.4
Persistent Systems,Technology,13.28,6.78,1,2.51
Apple Inc. (USA),Cons Durable,-,-,-,2.47
MindTree,Technology,19.15,7.38,0,2.32
Just Dial,Services,16.52,2.36,0,2.28
Cyient,Technology,10.17,6.44,0.4,1.91
Indiamart Intermesh,Services,287.45,2.19,0,1.66
Microsoft Corportion (US),Technology,-,-,-,1.61
Sterlite Technologies,Communication,10.15,6.66,0,1.55
KPIT Technologies,Technology,49.08,1.33,0,1.33
Zee Entertainment,Services,12.92,4.58,0,1.26
Cognizant Technology Solutions Corp.,Technology,-,-,-,1.1
Quess Corp,Financial,26.76,1.15,0,1.03
Dish TV India,Services,0,4.48,0,1
Affle (India),Communication,73,1.49,0,0.93
INOX Leisure,Services,29.5,6.11,0.31,0.62
Firstsource Solutions,Services,9.34,2.57,0,0.48
Info Edge (India),Services,100.66,1.18,0,0.31
8. Aditya Birla Sun Life Dividend Yield Fund,,,,,
Infosys,Technology,17.88,6.31,0.66,6.02
Hero Motocorp,Automobile,14.47,3.57,0,3.46
ITC,FMCG,24.06,5.32,0,3.37
HDFC Bank,Financial,29.04,3.31,0,3.31
Coal India,Energy,7.02,3.86,0,2.97
Mahanagar Gas,Energy,15.98,3.3,2.18,2.77
Orient Refractories Ltd.,Construction,29.86,2.88,1.27,2.76
NTPC,Energy,10.18,3.04,0,2.66
Sanofi India,Healthcare,36.43,4.08,1.96,2.57
ICICI Securities,Financial,21.1,2.51,0,2.51
Starbucks Corporation (USA),FMCG,-,-,-,2.36
Bharat Electronics,Engineering,14.22,2.3,0,2.3
City Union Bank,Financial,21.81,2.26,1.04,2.26
Greaves Cotton,Engineering,19.38,2.75,1.78,2.26
Pfizer,Healthcare,33.36,3.63,1.52,2.26
P&G Hygiene & Health Care,FMCG,92.33,2.83,1.64,2.12
L&T Infotech,Technology,19.51,2.39,0,2.03
Tata Consultancy Services,Technology,24.03,2.21,0,1.98
Tech Mahindra,Technology,16.09,2.96,0,1.92
ICICI Prudential Life Insurance Co. Ltd.,Financial,60.82,2.53,0,1.87
NLC India,Energy,6.96,1.85,0,1.85
ICICI Bank,Financial,54.6,6.9,0,1.82
Avanti Feeds,FMCG,17.56,1.77,0,1.77
L'Oreal,FMCG,-,-,-,1.74
Castrol India,Energy,18.17,1.89,0,1.72
9. Aditya Birla Sun Life Dual Advantage Fund Series 2 - Regular Plan,,,,,
Metropolis Healthcare,Healthcare,56.66,1.95,0,1.95
ICICI Bank,Financial,54.6,1.74,1.47,1.69
HDFC Bank,Financial,29.04,1.61,1.43,1.58
HDFC,Financial,34.78,1.62,1.43,1.43
State Bank of India,Financial,30.54,1.87,1.37,1.37
Whirlpool,Cons Durable,62.92,0.99,0.76,0.99
Voltas,Cons Durable,47.85,0.87,0.76,0.87
Atul,Chemicals,26.43,0.83,0.72,0.8
Larsen & Toubro,Construction,21.91,0.87,0.73,0.8
Marico,FMCG,43.43,0.79,0.73,0.79
Shree Cement,Construction,53.3,0.9,0.72,0.76
Gruh Finance,Financial,52.02,0.93,0.7,0.75
NTPC,Energy,10.18,0.87,0.71,0.71
Sanofi India,Healthcare,36.43,0.77,0.68,0.71
Hero Motocorp,Automobile,14.47,0.74,0.63,0.71
Castrol India,Energy,18.17,0.79,0.56,0.62
10. Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,,,,,
HDFC Bank,Financial,29.04,9.71,2.99,9.71
ICICI Bank,Financial,54.6,9.1,0,8.5
Bajaj Finance,Financial,47.43,5.19,1.26,5.19
Reliance Industries,Energy,21.03,9.2,0,4.89
Voltas,Cons Durable,47.85,4.05,1.2,4.05
Crompton Greaves Consumer Electricals,Cons Durable,38.93,3.47,0,3.47
Shree Cement,Construction,53.3,3.74,0,3.16
Kotak Mahindra Bank,Financial,37.49,3.46,0,3.02
The Ramco Cements,Construction,30.88,2.98,0,2.98
State Bank of India,Financial,30.54,4.93,0,2.9
Info Edge (India),Services,100.66,2.68,0,2.35
Axis Bank,Financial,45.35,5.57,0,2.23
Natco Pharma,Healthcare,17.26,4.21,1.79,2.22
Bandhan Bank,Financial,30.55,2.58,0,2.19
Titan Company,Cons Durable,83.8,2.07,0,2.07
Larsen & Toubro,Construction,21.91,2.38,0,2.06
Infosys,Technology,17.88,5.23,0,2
Atul,Chemicals,26.43,1.91,0,1.91
Bata India,FMCG,65.48,1.85,0,1.85
L&T Infotech,Technology,19.51,2.06,0,1.84
Aditya Birla Fashion and Retail,Services,47.12,1.72,0,1.72
Thermax,Engineering,39.88,1.64,0,1.64
RBL Bank,Financial,14.06,3.93,0,1.55
Nestle India,FMCG,85.64,1.48,0,1.48
Quess Corp,Financial,26.76,2.37,0,1.4
11. Aditya Birla Sun Life Equity Fund,,,,,
ICICI Bank,Financial,54.6,9.76,0,9.76
HDFC Bank,Financial,29.04,9.67,4.51,9.67
Dr. Reddy's Lab,Healthcare,21.78,4.75,1.33,3.89
Bajaj Finance,Financial,47.43,3.21,1.13,3.21
Larsen & Toubro,Construction,21.91,3.14,0,3.14
Sun Pharmaceutical Inds.,Healthcare,31.92,3.81,0,3.12
Tech Mahindra,Technology,16.09,4.35,0,3.08
ITC,FMCG,24.06,4.59,1.48,3.03
Tata Chemicals,Chemicals,13.09,4.02,2.21,2.96
Infosys,Technology,17.88,4.08,0.91,2.75
Century Textiles & Inds.,Diversified,10.55,2.73,1.57,2.62
PVR,Services,52.87,2.67,0,2.53
State Bank of India,Financial,30.54,2.85,0,2.49
Tata Steel,Metals,4.78,3.96,0.74,2.35
HCL Technologies,Technology,14.98,3.68,1.1,2.23
Indusind Bank,Financial,22.19,3.3,1.84,2.21
Bharti Airtel,Communication,0,2.18,0,2.18
Aditya Birla SL Overnight Fund Direct-G,-,-,-,-,1.78
Hindalco Inds.,Metals,51.04,2.87,0,1.54
Bharat Forge,Automobile,20.9,2.7,0,1.52
ACC,Construction,15.59,1.76,0.31,1.48
Axis Bank,Financial,45.35,1.47,0,1.47
Reliance Industries,Energy,21.03,1.45,0,1.45
ICICI Lombard General Insurance,Financial,54.96,1.36,0,1.36
United Spirits,FMCG,58.21,2.38,0.55,1.36
12. Aditya Birla Sun Life Equity Hybrid '95 Fund,,,,,
HDFC Bank,Financial,29.04,8.33,3.06,8.08
ICICI Bank,Financial,54.6,6.79,2.05,6.05
Infosys,Technology,17.88,4.34,1.92,4.22
Larsen & Toubro,Construction,21.91,2.81,0.46,2.81
ITC,FMCG,24.06,2.63,0.68,2.52
Reliance Industries,Energy,21.03,2.37,0,2.37
State Bank of India,Financial,30.54,3.11,0.28,2.29
Whirlpool,Cons Durable,62.92,2.03,0.29,2.03
Axis Bank,Financial,45.35,2.02,0,2.02
HDFC,Financial,34.78,1.85,0,1.85
Marico,FMCG,43.43,1.84,0,1.83
Indusind Bank,Financial,22.19,2.36,0.65,1.79
Kotak Mahindra Bank,Financial,37.49,1.63,0.81,1.52
Pfizer,Healthcare,33.36,1.39,0.51,1.39
Sun TV Network,Services,14.87,1.32,0.44,1.32
HCL Technologies,Technology,14.98,1.69,0.44,1.3
IRB InvIT Fund,Construction,-,1.65,0,1.26
Crompton Greaves Consumer Electricals,Cons Durable,38.93,1.12,0.36,1.12
Eris Lifesciences,Healthcare,19.08,1.82,0,1.06
Kansai Nerolac Paints,Chemicals,61.13,1.05,0,1.05
Bata India,FMCG,65.48,1.34,0,1.01
Tech Mahindra,Technology,16.09,1.57,0.05,1.01
Dabur India,FMCG,56.47,1.28,0,1
Alkem Laboratories,Healthcare,29.07,1,0,1
Ultratech Cement,Construction,38.2,0.93,0,0.93
13. Aditya Birla Sun Life Equity Savings Fund - Regular Plan,,,,,
ITC,FMCG,24.06,7.4,0.46,6.38
Adani Power,Engineering,0,6.56,0,4.41
HDFC Bank,Financial,29.04,4.35,0.28,4.35
Adani Enterprises,Services,16.89,3.56,0,3.56
JSW Steel,Metals,8.54,4.2,0,3.36
Sun Pharmaceutical Inds.,Healthcare,31.92,3.63,1.03,2.36
Pfizer,Healthcare,33.36,2.32,0,2.32
Bandhan Bank,Financial,30.55,2.21,0,2.21
Kotak Mahindra Bank,Financial,37.49,2.01,0,2.01
Punjab National Bank,Financial,0,2.15,0,1.93
Whirlpool,Cons Durable,62.92,1.89,0.06,1.89
State Bank of India,Financial,30.54,3.42,0.65,1.88
Bajaj Finance,Financial,47.43,1.84,0.56,1.84
Honeywell Automation,Engineering,67.09,1.7,0,1.7
ICICI Bank,Financial,54.6,4.68,0,1.59
Thermax,Engineering,39.88,1.46,0,1.46
Atul,Chemicals,26.43,1.44,0,1.44
Shree Cement,Construction,53.3,1.62,0,1.42
Hindalco Inds.,Metals,51.04,1.72,0,1.35
Axis Bank,Financial,45.35,4.79,0,1.3
MRF,Automobile,24.69,1.28,0,1.28
Jubilant FoodWorks,Services,63.69,1.24,0,1.24
Dalmia Bharat,Construction,36.35,1.64,0,1.22
Bajaj Electricals,Cons Durable,28.04,1.62,0,1.21
Marico,FMCG,43.43,1.62,0,1.2
14. Aditya Birla Sun Life Financial Planning Fund FoF - Aggressive Plan,,,,,
Aditya Birla Sun Life Equity Fund Direct-Growth,-,-,-,-,17.63
Aditya Birla SL Focused Equity Direct-G,-,-,-,-,17.43
Aditya Birla SL India GenNext Direct-G,-,-,-,-,14.37
Aditya Birla SL Small Cap Direct-G,-,-,-,-,13.9
Aditya Birla SL Credit Risk Direct-G,-,-,-,-,12.8
Aditya Birla SL Pharma & Healthcare Fund Direct-G,-,-,-,-,8.01
Aditya Birla SL Corporate Bond Direct-G,-,-,-,-,7.98
Aditya Birla SL Medium Term Direct Plan -Growth,-,-,-,-,5.87
Aditya Birla SL Money Manager Direct-G,-,-,-,-,1.07
15. Aditya Birla Sun Life Financial Planning Fund FoF - Conservative Plan,,,,,
Aditya Birla SL Credit Risk Direct-G,-,-,-,-,27.08
Aditya Birla SL Medium Term Direct Plan -Growth,-,-,-,-,15.51
Aditya Birla SL Corporate Bond Direct-G,-,-,-,-,14.75
Aditya Birla Sun Life Equity Fund Direct-Growth,-,-,-,-,8.54
Aditya Birla SL Focused Equity Direct-G,-,-,-,-,8.43
Aditya Birla SL Money Manager Direct-G,-,-,-,-,6.83
Aditya Birla SL Small Cap Direct-G,-,-,-,-,6.73
Aditya Birla SL India GenNext Direct-G,-,-,-,-,5.38
Aditya Birla SL Pharma & Healthcare Fund Direct-G,-,-,-,-,3.86
16. Aditya Birla Sun Life Financial Planning Fund FoF - Prudent Plan,,,,,
Aditya Birla SL Credit Risk Direct-G,-,-,-,-,18.94
Aditya Birla SL Focused Equity Direct-G,-,-,-,-,14.39
Aditya Birla Sun Life Equity Fund Direct-Growth,-,-,-,-,12.67
Aditya Birla SL Corporate Bond Direct-G,-,-,-,-,12.45
Aditya Birla SL Medium Term Direct Plan -Growth,-,-,-,-,11.59
Aditya Birla SL India GenNext Direct-G,-,-,-,-,10.36
Aditya Birla SL Small Cap Direct-G,-,-,-,-,9.94
Aditya Birla SL Pharma & Healthcare Fund Direct-G,-,-,-,-,5.2
Aditya Birla SL Money Manager Direct-G,-,-,-,-,2.35
17. Aditya Birla Sun Life Focused Equity Fund,,,,,
HDFC Bank,Financial,29.04,10.52,4.86,10.24
ICICI Bank,Financial,54.6,9.41,3.93,8.58
Larsen & Toubro,Construction,21.91,5.63,0.92,5.63
Infosys,Technology,17.88,6.8,3.04,5.44
HDFC,Financial,34.78,6.61,1.65,5.36
ITC,FMCG,24.06,6.51,3.37,5.34
Reliance Industries,Energy,21.03,5.27,1.17,4.73
NTPC,Energy,10.18,4.19,0.83,3.9
Axis Bank,Financial,45.35,3.69,0,3.69
State Bank of India,Financial,30.54,5.74,0,3.62
Alkem Laboratories,Healthcare,29.07,3.31,0,3.31
Crompton Greaves Consumer Electricals,Cons Durable,38.93,3.12,1.19,3.12
HCL Technologies,Technology,14.98,3.79,1.72,2.97
Sun TV Network,Services,14.87,3.06,0,2.73
Indusind Bank,Financial,22.19,3.47,0,2.58
Grasim Industries,Construction,25.9,3.24,0.97,2.55
Kotak Mahindra Bank,Financial,37.49,3.72,0,2.47
Sun Pharmaceutical Inds.,Healthcare,31.92,2.96,0,2.36
ICICI Lombard General Insurance,Financial,54.96,2.24,0,2.24
Dabur India,FMCG,56.47,3.38,0,2.17
Bharti Airtel,Communication,0,2.09,0,2.09
SBI Life Insurance Company,Financial,80.59,3.58,0,2.05
M&M Financial Services,Financial,16.78,3.11,0,1.85
Tech Mahindra,Technology,16.09,2.72,0.71,1.82
NMDC,Metals,6.78,2.83,0,1.64
18. Aditya Birla Sun Life Frontline Equity Fund,,,,,
HDFC Bank,Financial,29.04,10.49,4.33,10.29
ICICI Bank,Financial,54.6,8.69,3.59,8.44
Infosys,Technology,17.88,6.13,3.59,5.89
Reliance Industries,Energy,21.03,4.87,1.06,4.87
Larsen & Toubro,Construction,21.91,4.35,1.88,4.35
ITC,FMCG,24.06,5.04,3.31,3.84
HDFC,Financial,34.78,4.32,1.86,3.83
State Bank of India,Financial,30.54,4.47,1.5,3.37
Axis Bank,Financial,45.35,2.61,0.37,2.61
HCL Technologies,Technology,14.98,2.59,1.81,2.34
NTPC,Energy,10.18,2.49,1.24,2.34
Indusind Bank,Financial,22.19,2.66,1.65,1.98
Kotak Mahindra Bank,Financial,37.49,2.82,1.11,1.92
Tech Mahindra,Technology,16.09,2.35,1.03,1.78
ACC,Construction,15.59,1.63,0.11,1.63
Bajaj Finance,Financial,47.43,2.57,1.12,1.62
Bharti Airtel,Communication,0,1.83,0,1.51
Crompton Greaves Consumer Electricals,Cons Durable,38.93,1.96,1.23,1.47
ICICI Prudential Life Insurance Co. Ltd.,Financial,60.82,1.45,0,1.45
Indian Oil Corp.,Energy,9.68,2.57,0.58,1.26
Dabur India,FMCG,56.47,1.3,0,1.26
Sanofi India,Healthcare,36.43,1.5,0.76,1.26
Hindalco Inds.,Metals,51.04,2.51,0.11,1.2
Hindustan Unilever,FMCG,70.25,1.68,1.13,1.15
Coal India,Energy,7.02,1.32,0,1.13
19. Aditya Birla Sun Life Global Emerging Opportunities Fund,,,,,
Julius Baer Equity Next Generation,-,-,-,-,97.51
20. Aditya Birla Sun Life Global Real Estate Fund - Retail Plan,,,,,
ING Global Real Estate,-,-,-,-,97.2
21. Aditya Birla Sun Life Index Fund,,,,,
HDFC Bank,Financial,29.04,9.7,5.76,9.31
Reliance Industries,Energy,21.03,9.3,3.98,8.02
HDFC,Financial,34.78,7.05,4.86,5.98
Infosys,Technology,17.88,5.82,3.58,5.38
ICICI Bank,Financial,54.6,5.29,3.35,4.92
ITC,FMCG,24.06,5.46,3.92,3.92
Tata Consultancy Services,Technology,24.03,4.63,2.49,3.88
Kotak Mahindra Bank,Financial,37.49,3.92,1.83,3.86
Larsen & Toubro,Construction,21.91,3.63,2.73,3.2
Hindustan Unilever,FMCG,70.25,2.54,1.39,2.49
Axis Bank,Financial,45.35,2.67,1.7,2.46
State Bank of India,Financial,30.54,2.73,1.83,1.83
Bajaj Finance,Financial,47.43,1.69,0,1.69
Maruti Suzuki India,Automobile,32.29,2.62,1.4,1.57
Asian Paints,Chemicals,65.48,1.4,0.96,1.4
Indusind Bank,Financial,22.19,2.1,1.25,1.25
Bharti Airtel,Communication,0,1.39,0.76,1.22
Nestle India,FMCG,85.64,1.05,0,1.05
HCL Technologies,Technology,14.98,1.3,0.94,1.03
Titan Company,Cons Durable,83.8,1.04,0,0.93
Bajaj Finserv,Financial,34.38,0.96,0,0.9
NTPC,Energy,10.18,1.14,0.78,0.9
Mahindra & Mahindra,Automobile,12.49,1.81,0.9,0.9
Power Grid Corporation,Energy,7.05,1.1,0.75,0.82
Ultratech Cement,Construction,38.2,0.97,0.69,0.8
22. Aditya Birla Sun Life India GenNext Fund,,,,,
ICICI Bank,Financial,54.6,7.18,0,6.52
HDFC Bank,Financial,29.04,7.74,4.83,6.49
ITC,FMCG,24.06,5.66,3,5.34
HDFC,Financial,34.78,4.74,2.19,2.99
Colgate-Palmolive,FMCG,56.2,2.91,0,2.91
Kotak Mahindra Bank,Financial,37.49,3.31,2.48,2.79
Axis Bank,Financial,45.35,2.47,0,2.47
Britannia Inds.,FMCG,68.74,2.75,1.83,2.47
Whirlpool,Cons Durable,62.92,2.51,1.51,2.31
Bajaj Finserv,Financial,34.38,2.2,0,2.2
Asian Paints,Chemicals,65.48,2.51,0.44,1.85
Bajaj Finance,Financial,47.43,2.33,0.93,1.7
Marico,FMCG,43.43,2.13,0,1.69
Voltas,Cons Durable,47.85,1.99,1.33,1.66
Nestle India,FMCG,85.64,2.71,0.99,1.63
Apollo Hospitals,Healthcare,65.55,2.57,0,1.63
United Spirits,FMCG,58.21,2.42,1.05,1.61
ICICI Prudential Life Insurance Co. Ltd.,Financial,60.82,2.4,1.16,1.61
Century Textiles & Inds.,Diversified,10.55,3.88,1.45,1.52
Sun Pharmaceutical Inds.,Healthcare,31.92,2.32,0,1.5
Tata Global Beverages,FMCG,41.99,1.46,0,1.46
ACC,Construction,15.59,2.07,0.78,1.42
Titan Company,Cons Durable,83.8,2.17,0.55,1.42
Maruti Suzuki India,Automobile,32.29,5.14,1.41,1.41
Indusind Bank,Financial,22.19,3.96,1.06,1.39
23. Aditya Birla Sun Life Infrastructure Fund,,,,,
Honeywell Automation,Engineering,67.09,7.79,3.34,7.07
Larsen & Toubro,Construction,21.91,5.13,0,5.13
Bharat Electronics,Engineering,14.22,5.09,0,5.09
NTPC,Energy,10.18,4.7,0,4.32
Coal India,Energy,7.02,4.23,0,4.23
PNC Infratech,Services,13.62,4.41,0,4.22
Ultratech Cement,Construction,38.2,4.04,0,4.04
Carborundum Universal,Metals,24.31,5.18,1.35,3.55
NCC,Construction,6.12,3.1,0,3.1
HDFC Bank,Financial,29.04,5.57,0.65,3.09
Grasim Industries,Construction,25.9,3.17,0,2.74
Orient Refractories Ltd.,Construction,29.86,2.76,1.58,2.73
Indraprastha Gas,Energy,30.82,4.42,2.32,2.71
KEC International,Engineering,14.05,2.83,1.17,2.54
Engineers India,Construction,16.86,2.46,0,2.46
Dalmia Bharat,Construction,36.35,2.86,0,2.3
HG Infra Engineering,Construction,9.41,2.35,0,2.29
Hindalco Inds.,Metals,51.04,4.04,0,2.23
Mahanagar Gas,Energy,15.98,2.71,1.66,2.09
Wabco India,Automobile,44.15,3.68,1.58,2.03
NMDC,Metals,6.78,2.63,0,1.94
Century Textiles & Inds.,Diversified,10.55,1.93,0,1.93
KNR Constructions,Construction,13.59,2.21,0,1.93
Ashoka Buildcon,Construction,10.46,2.99,1.55,1.89
Greaves Cotton,Engineering,19.38,2.56,1.2,1.73
24. Aditya Birla Sun Life International Equity Fund - Plan A,,,,,
Mc DonaldS Corporation (US),Services,-,-,-,3.48
Enbridge Inc,Services,-,-,-,3.27
Western Union (US),Financial,-,-,-,3.06
Essilorluxottica,Construction,-,-,-,2.83
Microsoft Corportion (US),Technology,-,-,-,2.81
Guidewire Software Inc,Technology,-,-,-,2.81
The Walt Disney Company,Services,-,-,-,2.78
Berkshire Hathway Inc (US),Diversified,-,-,-,2.75
Intel Corporation (USA),Technology,-,-,-,2.69
Yum China Holdings Inc.,Services,-,-,-,2.57
Alphabet Inc Class A,Technology,-,-,-,2.5
Emerson Electric,Engineering,-,-,-,2.44
Toronto Dominion Bank,Financial,-,-,-,2.42
T Rowe Price Group,Financial,-,-,-,2.42
Royal Bank Of Canada,Financial,-,-,-,2.4
Caterpillar INC (US),Construction,-,-,-,2.32
Salesforce Com.,Technology,-,-,-,2.27
United Technologies (US),Diversified,-,-,-,2.27
Amazon. com Inc. (USA),Cons Durable,-,-,-,2.2
Medtronic,Healthcare,-,-,-,2.19
