Company,Sector,PE,3Y High,3Y Low,% Assets
HDFC,Financial,34.78,7.84,2.95,5.76
Kotak Mahindra Bank,Financial,37.46,6.76,2.63,5.38
Hindustan Unilever,FMCG,70.14,4.47,0.00,4.47
Infosys,Technology,17.88,9.86,1.65,4.11
Bharti Airtel,Communication,0.00,3.74,0.00,3.06
Torrent Pharmaceuticals,Healthcare,58.16,4.94,0.00,3.01
ITC,FMCG,24.06,9.34,2.95,2.95
SBI Life Insurance Company,Financial,80.59,3.11,0.00,2.72
Sundaram Money Direct,-,-,-,-,2.49
Varun Beverages,FMCG,43.18,2.53,0.00,2.36
Bajaj Finance,Financial,47.42,2.22,0.00,2.11
NTPC,Energy,10.18,4.14,1.69,2.10
Trent,Services,126.99,1.87,0.00,1.86
ICICI Lombard General Insurance,Financial,54.96,2.45,0.00,1.82
Titan Company,Cons Durable,83.39,2.03,0.00,1.80
Aarti Industries,Chemicals,28.31,2.07,0.00,1.79
Crompton Greaves Consumer Electricals,Cons Durable,39.07,2.46,0.00,1.54
Voltas,Cons Durable,47.85,2.66,0.00,1.37
State Bank of India,Financial,30.54,4.43,0.00,0.97
Indusind Bank,Financial,22.19,6.34,0.96,0.96
734. Sundaram Select Micro Cap Fund - Series IX - Regular Plan
Kei Industries,Engineering,21.95,6.16,2.68,6.16
Blue Star,Cons Durable,47.17,5.30,3.38,5.30
Kalpataru Power Trans,Construction,16.99,4.67,2.91,4.53
Navin Fluorine International,Chemicals,25.37,4.50,1.70,4.27
Grindwell Norton,Metals,40.49,4.26,2.30,4.04
Heidelberg Cement India,Construction,17.08,4.45,1.93,3.96
INOX Leisure,Services,29.50,3.17,0.00,3.17
JK Cement,Construction,19.87,3.08,0.00,2.97
Astra Microwave Products,Communication,0.00,3.90,2.07,2.58
Subros,Automobile,17.07,2.98,1.62,2.50
V-Guard Industries,Cons Durable,56.37,4.86,2.49,2.49
Ashoka Buildcon,Construction,10.52,3.54,1.25,2.24
MM Forgings,Metals,12.85,3.36,1.15,2.23
Praj Industries,Engineering,28.30,3.88,1.16,2.22
PVR,Services,52.87,2.66,1.64,2.20
Kennametal India,Engineering,26.75,2.10,0.60,2.10
Ingersoll Rand India,Engineering,24.02,2.05,0.00,2.05
Century Plyboards (India),FMCG,22.85,3.23,1.65,1.98
India Cements,Construction,21.18,4.24,1.93,1.95
Ador Welding,Engineering,18.35,2.58,0.06,1.93
Timken India,Engineering,35.15,1.91,0.00,1.91
Healthcare Global Enterprises,Healthcare,0.00,5.99,1.84,1.87
DCB Bank,Financial,15.79,2.00,0.00,1.78
Thyrocare Technologies,Healthcare,30.47,2.14,0.00,1.77
NRB Bearings,Engineering,13.34,2.47,0.00,1.73
735. Sundaram Select Micro Cap Fund - Series VIII - Regular Plan
Kei Industries,Engineering,21.95,6.14,2.68,6.14
Blue Star,Cons Durable,47.17,5.57,3.38,5.57
Kalpataru Power Trans,Construction,16.99,4.83,2.91,4.70
Navin Fluorine International,Chemicals,25.37,4.59,1.70,4.36
Grindwell Norton,Metals,40.49,4.25,2.29,4.04
Heidelberg Cement India,Construction,17.08,4.45,1.11,3.97
INOX Leisure,Services,29.50,3.17,0.00,3.17
JK Cement,Construction,19.87,3.08,0.00,2.97
Astra Microwave Products,Communication,0.00,3.89,2.06,2.56
V-Guard Industries,Cons Durable,56.37,4.86,2.51,2.51
Ashoka Buildcon,Construction,10.52,3.52,1.24,2.24
MM Forgings,Metals,12.85,3.52,1.12,2.23
Praj Industries,Engineering,28.30,3.88,1.16,2.22
PVR,Services,52.87,2.66,1.64,2.21
Kennametal India,Engineering,26.75,2.08,0.60,2.08
Subros,Automobile,17.07,2.40,1.57,1.97
Ingersoll Rand India,Engineering,24.02,1.95,0.00,1.95
India Cements,Construction,21.18,4.24,1.93,1.94
Ador Welding,Engineering,18.35,2.58,0.06,1.93
Timken India,Engineering,35.15,1.91,0.00,1.91
Healthcare Global Enterprises,Healthcare,0.00,5.95,1.83,1.85
Thyrocare Technologies,Healthcare,30.47,2.25,0.00,1.85
NRB Bearings,Engineering,13.34,2.60,0.00,1.73
Heritage Foods,FMCG,18.03,2.24,1.32,1.61
DCB Bank,Financial,15.79,1.81,0.00,1.60
736. Sundaram Select Micro Cap Fund - Series X - Regular Plan
Kei Industries,Engineering,21.95,6.21,2.70,6.21
Blue Star,Cons Durable,47.17,5.63,3.38,5.63
Kalpataru Power Trans,Construction,16.99,4.95,2.56,4.81
Heidelberg Cement India,Construction,17.08,4.48,1.94,4.41
Navin Fluorine International,Chemicals,25.37,4.59,1.71,4.36
Grindwell Norton,Metals,40.49,4.27,2.29,4.06
INOX Leisure,Services,29.50,3.17,0.00,3.17
Astra Microwave Products,Communication,0.00,3.90,2.07,2.60
V-Guard Industries,Cons Durable,56.37,4.87,2.58,2.58
Subros,Automobile,17.07,2.98,1.62,2.53
